Course Number,Course Name,Course Description,Course Link,Agency,Prerequisites,Course Type,Course Length,Tier,,,,,,,,,,,,,,,,,,
IS-100.C,"Introduction to Incident Command System, ICS-100","Introduction to Incident Command System, ICS-100","IS-100.C: Introduction to the Incident Command System, ICS",FEMA,No,Online,2 Hours,"1, 2, 3, and 4",,,,,,,,,,,,,,,,,,
IS-200.C,Basic Incident Command System for Initial Response,"Course Overview: 

IS200, Basic Incident Command System for Initial Response, reviews the Incident Command System (ICS), provides the context for ICS within initial response, and supports higher level ICS training. This course provides training on, and resources for, personnel who are likely to assume a supervisory position within ICS. The Emergency Management Institute developed its ICS courses collaboratively with: National Wildfire Coordinating Group (NWCG), U.S. Department of Agriculture, and United State Fire Administration's National Fire Programs Branch.

Course Objectives:

At the completion of this course, you should be able to: Describe the course objectives and summarize basic information about the Incident Command System (ICS) and National Incident Management System (NIMS):

- Describe how the NIMS Management Characteristics relate to Incident Command and Unified Command.
- Describe the delegation of authority process, implementing authorities, management by objectives, and preparedness plans and objectives.
- Identify ICS organizational components, the Command Staff, the General Staff, and ICS tools.
- Describe different types of briefings and meetings.
- Explain flexibility within the standard ICS organizational structure.
- Explain transfer of command briefings and procedures.
- Use ICS to manage an incident or event.

Prerequisites:

- IS-100.c An Introduction to the Incident Command System (ICS 100).",IS-200.C: Basic Incident Command System for Initial Response,FEMA,Yes,Online,4 Hours,"1, 2, 3, and 4",,,,,,,,,,,,,,,,,,
IS-201,Forms Used for the Development of the Incident Action Plan,"Course Overview:

This is a web-based training course on the National Incident Management System (NIMS) Incident Command System (ICS). The course is designed to provide training through an independent study vehicle on the use of ICS forms.

Course Objectives:

- The participant will be able to describe the goals and objectives of the IS-201 course.
- The participant will be able to identify and describe how an IAP is developed and implemented following the primary phases of the planning process.
- The participant will be able to identify and describe the standard ICS forms that are used to support the development of an IAP and their importance for effective information management.
- The participant will be able to identify and describe sources of information that provide input for composing ICS tactical and safety worksheet forms, and how those forms are used to develop information needed for key elements of the IAP consistent with the Planning ""P"".
- The participant will be able to identify and describe the various ICS forms used for the development of the IAP, and the ICS staff positions responsible for gathering the information needed.
- The participant will be able to identify and describe the purpose of supplemental ICS forms and documents needed to assist with information collection and dissemination needed during an incident.
- The participant will be able to summarize the IS-201 course, citing key components of the course.
",IS-201: Forms Used for the Development of the Incident Action Plan,DSHS - Train TX,No,Online,2 Hours,"1, 2, 3, and 4",,,,,,,,,,,,,,,,,,
IS-250.A,Emergency Support Function,,,,,,,,,,,,,,,,,,,,,,,,,
ICS 300,Intermediate ICS for Expanding Incidents,"Course Overview:

This course is intended to serve as a vehicle to share proven incident management strategies and practices, as well as to enhance teamwork and coordination among the agency's mid-level managers and command staff directly responsible for emergency response to all-hazards incidents in which the Incident Command System (ICS) is employed.

Course Objectives:

- Describe how the National Incident Management System (NIMS) Command and Management component supports the management of expanding incidents.
- Describe the Incident/Event Management process for supervisors and expanding incidents as prescribed by the Incident Command System (ICS).
- Implement the Incident Management process on a simulated Type 3 incident.
- Develop an Incident Action Plan for a simulated incident.

Prerequisites:

- ICS-100 Introduction to Incident Command System, ICS-100
- ICS-200 ICS for Single Resources and Initial Action Incidents
- ICS-700 National Incident Management System (NIMS) An Introduction
- ICS-800 National Response Framework, An Inroduction","TDEM - ICS 300 Intermediate Incident Command System for Expanding Incidents 

","Texas Department of Emergency Management 
or 
TEEX",Yes,In Person,21 Hours,"2, 3, and 4",,,,,,,,,,,,,,,,,,
,,,TEEX - ICS 300 Intermediate Incident Command System for Expanding Incidents,,Yes,In Person,21 Hours,,,,,,,,,,,,,,,,,,,
ICS 400,Advanced ICS for Command and General Staff,"Course Overview:

This course is intended to serve as a vehicle to share proven incident management strategies and practices, as well as to enhance teamwork and coordination among all response agencies' officers directly responsible for emergency response to a Weapon of Mass Destruction (WMD)/terrorism incident or other Incident of national significance. The course is specifically intended for those emergency response personnel who have duties that require they be directly involved in incident management or command at either a field Incident Command Post (ICP) or in a city, county, or regional Emergency Operations Center (EOC).

Prerequisites:

- IS-100.c, Introduction to the Incident Command System, ICS-100
- IS-200.b, Incident Command System for Single Resources and Initial Action Incidents
- IS-700.b, National Incident Management System, An Introduction
- IS-800.c, National Response Framework, An Introduction
- G300, Intermediate Incident Command System for Expanding Incidents","TDEM - ICS 400 Advanced Incident Command System for Complex Incidents
","Texas Department of Emergency Management 
or 
TEEX",Yes,In Person,15 Hours,3 and 4,,,,,,,,,,,,,,,,,,
,,,TEEX - ICS 400 Advanced Incident Command System for Complex Incidents ,,Yes,In Person,15 Hours,,,,,,,,,,,,,,,,,,,
IS-700.A,National Incident Management System (NIMS) An Introduction,"Course Overview:

This course provides an overview of the National Incident Management System (NIMS). The National Incident Management System defines the comprehensive approach guiding the whole community - all levels of government, nongovernmental organizations (NGO), and the private sector - to work together seamlessly to prevent, protect against, mitigate, respond to, and recover from the effects of incidents. The course provides learners with a basic understanding of NIMS concepts, principles, and components.

Course Objectives:

At the end of this course, students will be able to:

- Describe and identify the key concepts, principles, scope, and applicability underlying NIMS.
- Describe activities and methods for managing resources.
- Describe the NIMS Management Characteristics.
- Identify and describe Incident Command System (ICS) organizational structures.
- Explain Emergency Operations Center (EOC) functions, common models for staff organization, and activation levels.
- Explain the interconnectivity within the NIMS Management and Coordination structures: ICS, EOC, Joint Information System (JIS), and Multiagency Coordination Groups (MAC Groups).
- Identify and describe the characteristics of communications and information systems, effective communication, incident information, and communication standards and formats.",IS-700.B: An Introduction to the National Incident Management System,FEMA,No,Online,3.5 Hours,"1, 2, 3, and 4",,,,,,,,,,,,,,,,,,
IS-702.A,National Incident Management System (NIMS) Public Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,
IS-800.D,"National Response Framework, An Introduction","Course Overview:

The goal of the IS-0800.d, National Response Framework, An Introduction, is to provide guidance for the whole community. Within this broad audience, the National Response Framework focuses especially on those who are involved in delivering and applying the response core capabilities, including:

- Private sector partners
- Non-governmental organizations (NGOs)
- Government officials
- Community leaders
- Emergency management practitioners
- First responders

Course Objectives:

By the end of this course students will be able to:

- Describe the purpose, scope, organization, and underlying doctrine of the National Response Framework.
- Describe the roles and responsibilities of response partners.
- Describe core capabilities for response and actions required to deliver those capabilities.
- Describe coordinating structures and operational planning used to support emergency response.
- Describe how the stabilization of the seven Community Lifelines reduces threats to public health and safety, or economic security.

Prerequisites:

- IS-0700, An Introduction to the National Incident Management System","IS-800.D: National Response Framework, An Introduction",FEMA,Yes,Online,3 Hours,"1, 2, 3, and 4",,,,,,,,,,,,,,,,,,
MGT319,"Medical Countermeasures: Point Of Dispensing (POD), Planning And Response","Course Overview:

This course is a guide for local health officials and their partners to coordinate plans to provide mass distribution of medical countermeasures in response to a large-scale public health incident. This course focuses on planning considerations, recommendation to achieve the Centers for Disease Control and Prevention's (CDC's) 48-hour standard for Mass Prophylaxis, and the local community's Mass Prophylaxis and Point of Dispensing (POD) site preparedness. The course material is applicable to pandemic influenza, bio-terrorism, and other public health emergencies.","MGT319 - Medical Countermeasures: Point of Dispensing (POD), Planning & Response",TEEX,No,In Person,16 Hours,3 and 4,,,,,,,,,,,,,,,,,,
HIPAA-2020,HIPAA and Texas Medical Records Privacy - 2020,,,,,,,,,,,,,,,,,,,,,,,,,
NS,Needle Stick,,,,,,,,,,,,,,,,,,,,,,,,,
PER212,Operations Level Response to HazMat/WMD Incidents,"Course Overview:

This course provides the knowledge and skills needed to obtain certification through the National Professional Qualifications System (NPQS/Pro Board) as an Operations-level responder.

This three-day course focuses on the unique response and personal protection challenges that responders face during a Weapons of Mass Destruction (WMD)/terrorist incident or a Hazardous Materials (HazMat) incident. The Operations-level training prepares emergency responders from all disciplines to recognize and identify hazardous material and to mitigate a HazMat incident by preventing further contamination of people, property, and the environment. Participants will have the opportunity to Pro Board test on day three.

PER212 is based on National Fire Protection Association (NFPA) 472 (2008 ed.) consensus standard Operations-level core competencies (Chapter 5 Core Ops) and Personal Protective Equipment (PPE) Chapter 6.2, mission-specific competency, as well as Occupational Safety and Health Administration (OSHA) 29 Code of Federal Regulations (CFR) 1910.120 and Environmental Protection Agency (EPA) (40 CFR Part 311) response regulations. 

Prerequisites:

- AWR160: WMD/Terrorism Awareness for Emergency Responders
- OGT208: Standardized Awareness Training (Recommended but not required)",PER212 - Operations Level Response to HazMat/WMD Incidents,TEEX,Yes,In Person,24 Hours,3 and 4,,,,,,,,,,,,,,,,,,
PER-345,Radiation Instruments Operations,"Course Overview:

The primary focus of this course will be the instrument operation skills needed by the first responders when responding to radiological or nuclear incident. This course serves a dual role for the response community. For the new responder the course provides a general overview of detection equipment, its selection, and its general operation. New operators should continue with their response training in order to gain the proper knowledge required to operate safely in the read/nuc environment. For the experience operator, the course provides a refresher on multiple detection platforms. The training will encompass basic operations of the following: dosimeters, Personal Radiation Detectors (PRDs), Human Portable Radiation Detectors (Backpacks), survey meters, portal monitors, and Radio-Isotope Identifier Devices (RIIDs).

Course Objectives:

This course will enable the participants to select the appropriate instrument for a specific mission and use the instrument in performance of that mission.",PER-345: Radiation Instruments Operations,Counterterrorism Operations Support (CTOS),No,In Person,4 Hours,3 and 4,,,,,,,,,,,,,,,,,,
PER-240,WMD Radiological Nuclear Training,,,,,,,,,,,,,,,,,,,,,,,,,
AWR160,WMD/Terrorism Awareness for Emergency Responders,"Course Overview:

This online course focuses on training responders to meet the requirements established in the National Fire Protection Association (NFPA) 1072 (2017 ed.),"Competencies for Awareness Level Personnel,"(chapter 4) and the Occupational Safety and Health Administration (OSHA) 29 Code of Federal Regulations (CFR) 1910.120 (q) (6) (i) (a-f) "First Responder Awareness Level" competencies.

This course encompasses an all-hazards approach to Hazardous Materials (HazMat) incidents, including acts of terrorism where Weapons of Mass Destruction (WMD) materials may have been used. It provides participants the knowledge to recognize the hazardous material, protect themselves, notify others, and secure the scene.",AWR160: WMD/Terrorism Awareness for Emergency Responders,TEEX,No,Online,8 Hours,3 and 4,,,,,,,,,,,,,,,,,,
PER-355,Radiation Instruments Employment,"Course Overview:

The course is designed to satisfy the needs of a specific jurisdiction by providing a wide variety of drills from which the agency may select to address their training needs. The course is limited to 4 hours and is based on the jurisdictions equipment (or CTOS equipment cache). Selection of the drill and practical scenarios can be determined at the pre-course visit between the jurisdiction and the CTOS Course Director. Job Performance Requirements (JPRs) will be used to assess the required skills. The collection of these assessment tools (JPRs), as well as the cache of drills, will continue to grow as needs are identified within the various jurisdictions.

Course Objectives:

Given instruction, specific scenario(s), and hands-on drills, the participants will:

- Demonstrate the tasks required to complete given assignment to 100% accuracy, as evaluated on an associated Job Performance Requirement (JPR).
- NOTE: Given a scenario (or collection of scenarios) that have been selected by the Point of Contact (POC) for a Jurisdiction, and may vary in intensity and scope, the Participant will apply their knowledge and experience of radiological detection procedures in real-world settings and situations. The focus of the selected tasks will improve the overall preparedness for radiological/nuclear detection missions by applying detection instruments and demonstrating applicable operations.
- The POC will be able to select the type of scenario (from an established suite of drill station guides) and specific detection equipment they would like to use to meet their training needs. Each scenario used will be outlined in a drill station guide, and the required tasks will be evaluated by an accompanying JPR.

Prerequisites:

- ICS-100: Introduction to the Incident Command System
- ICS-200: ICS for Single Resources and Initial Action Incidents
- ICS-700: National Incident Management System, An Introduction",Per-355: Radiation Instruments Employment,Counterterrorism Operations Support (CTOS),Yes,In Person,4 Hours,3 and 4,,,,,,,,,,,,,,,,,,
PER-354,Response to Radiological/Nuclear Weapons of Mass Destruction (WMD) Incidents,"Course Overview:

The Performance 354 Response to Radiological/Nuclear Weapon of Mass Destruction Incidents course is an instructor led drill-based course delivered at the Nevada National Security Site. The course combines individual and team performance skills required in the response to a radiological WMD incident. The course objectives include:

- The current terrorist threats related to Radiological/Nuclear (R/N) WMDs
- Characteristics and hazards of Radiation Exposure Device (RED), Radiological Dispersal Device (RDD) and Improvised Nuclear Device (IND) and the related response considerations
- Radiation detection devices required for the response and safety of the responder
- Establishment of operational zones
- Personal protective equipment
- Decontamination
- Hazard identification Radio-Isotope Identification Device (RIID)

Course Objectives:

Effectively and safely respond to radiological incidents within their agency defined scope of operation. The Participant will attain the knowledge, skills and abilities to accomplish the following:

- Recognize a radiological/nuclear Weapon of Mass Destruction (WMD) incident and the factors to consider when responding to this type of terrorist threat
- Describe the Personal Protective Equipment (PPE) used at a radiological incident
- Describe how to conduct a radiological decontamination operation
- Determine the critical need and requirement of establishing zones during a radiological/nuclear WMD incident
- Locate and identify contained and uncontained radiological/nuclear materials
- Perform an area/facility detection operation in a radiological/nuclear environment
- Determine the effectiveness of the actions taken in accomplishing the planned response objectives and describe the steps required to terminate the emergency phase of the incident consistent with the - - Incident Action Plan (IAP)",PER-354: Response to Radiological/Nuclear Weapons of Mass Destruction (WMD) Incidents,TEEX,No,In Person,24 Hours,3 and 4,,,,,,,,,,,,,,,,,,
AWR-140,Introduction to Radiological Nuclear WMD Operations,"Course Overview:

The purpose of the Introduction to Radiological/Nuclear Operations, AWR-140, course, is to provide awareness and operations level training to those participants, who in the course of their normal duties could encounter a radiological/nuclear incident. The course will introduce topics that are relevant to a radiological/nuclear operation: Radiation, Radiological/Nuclear Weapons of Mass Destruction (WMD) Threats, Recognition and Notification, Protective Actions. This training will provide the participant with the fundamental knowledge of radiation and give the participant the awareness level knowledge (defensive posture) to respond to a radiological/nuclear WMD incident. It will train the awareness level tasks - recognition, self-protection, notification and secure the area - as it relates to a radiological incident. This will be accomplished by explaining protective actions and presenting administrative and engineering controls/procedures to help minimize health risks during a radiological emergency.

The course also covers material found at the operations level and meets a large portion of NFPA-472 Annex D-Analyzing the Incident. Participants who complete this course (AWR-140) along with the CTOS Instrument Course and Operations Response to Radiological/Nuclear WMDs will have completed the competencies, behaviors and tasks found in NFPA-472 Annex D and met the intent of the Standard.

Course Objectives:

- Upon completion of the first module, the participant will be able to explain the concepts of ionizing radiation, its sources, properties and units of measure. The participant will be able to describe the potential harm and biological effects caused by ionizing radiation.
- Upon completion of the second module the participant will be able to recognize possible radiological/nuclear WMD threats that could occur, and to understand the consequences of a radiological/nuclear accident or terrorist incident.
- Upon completion of the third module the participant will describe the recognition indicators and notification requirements of a first responder during a radiological/nuclear WMD incident.
- Upon completion of the fourth module, the participant can identify and initiate awareness level protective actions at the scene to reduce radiation exposure and/or contamination to themselves and others.",AWR-140: Introduction to Radiological Nuclear WMD Operations,Counterterrorism Operations Support (CTOS),No,In Person,4 Hours,3 and 4,,,,,,,,,,,,,,,,,,
IS-100.SCA,Introduction to the Incident Command System for Schools,,,,,,,,,,,,,,,,,,,,,,,,,
PER-243,Primary Screener/Personal Radiation Detector Course,"Course Overview:

This course trains participants to perform basic Preventive Radiological/Nuclear Detection (PRND) Operations as Primary Screeners employing a personal radiation detector. Participants learn how the job of the Primary Screener is integrated into the Nation's Global Nuclear Detection Architecture's (GNDA) objective to address the threat of terrorist attacks using radiological/nuclear material. The course evaluates participants' on knowledge, skills, and abilities in the Primary Screener role. Through scenario-based drills, Participants are trained to detect, locate, and adjudicate potential threats involving people, vehicles, packages, and facilities.

Course Objectives:

- Identify the Preventive Radiological Nuclear Defence (PRND) Mission Structure.
- Have a general knowledge of radiation basics and weapons of mass destruction that is required for performance of primary screening operations.
- Employ a personal radiation detector as a Primary Screener.
- Perform the duties of a Primary Screener using the Alarm Response Guide (ARG), the personal radiation detector (PRD), and the totality of the circumstances to properly assess radiation alarms.
- Receive, Respond To, and Assess PRD alarms using instrument response, visual and audio indicators, and interview results to categorize alarms as they relate to: people, packages, and vehicles.",PER-243: Primary Screener/Personal Radiation Detector (PRD),Counterterrorism Operations Support (CTOS),No,In Person,8 Hours,3 and 4,,,,,,,,,,,,,,,,,,
PER-245,Preventive Radiological/Nuclear Detection (PRND) Secondary Screener/RIID,"Course Overview:

Under simulated field conditions, using an Agency- or CTOS-supplied Radio-Isotope Identification Device (RIID), the Participants will respond as Secondary Screeners and employ the RIID to detect, verify, locate, measure, identify, and assess unknown radiological sources for the purpose of adjudicating the alarms. Further, they will collect spectra on the RIID and upload this data to computers or smart phones in preparation to forward the spectral data for reachback assistance.

Course Objectives:

- The goal of this course is to provide the Secondary Screener with the knowledge and skills to successfully meet the competencies and behaviors of the National Incident Management System (NIMS) Secondary Screener Typed position.
- Module 1: Participants will be able to summarize secondary screening and its role in the Global Nuclear Detection Architecture (GNDA), and in the Preventive Radiological/Nuclear Detection (PRND) mission.
- Module 2: Participants will be able to restate radiation basics that are required for performance of secondary screening operations.
- Module 3: Participants will demonstrate the ability to inspect, operate, and maintain a Radio-Isotope Identification Device (RIID) in performance of secondary screening activities or duties.
- Module 4: Participants will be able to integrate their training to assume their role of a Secondary Screener, Type 1, and initiate position activities within the steady state and enhanced steady state operational spectrum of operations.
- Module 5: Participants will be able to use suitable communication techniques to share relevant information with appropriate Preventive Radiological/Nuclear Detection (PRND) personnel and during direct contact with the general public.
- Module 6: Participants will be able to integrate (identify, analyze, and apply) relevant situational information (totality of the circumstances) and evaluate actions to complete assignments and meet identified objectives.

Prerequisites:

PER-243: Primary Screener / Personal Radiation Detector",PER-245: Preventive Radiological/Nuclear Detection (PRND) Secondary Screener/RIID,Counterterrorism Operations Support (CTOS),Yes,In Person,16 Hours,3 and 4,,,,,,,,,,,,,,,,,,
PER-246,Primary Screener Backpack Basic Course (PSBB),"Course Overview:

This course trains Primary Screeners to employ a Human-Portable Radiation Detector (Backpack) to detect and verify radiation alarms, localize the radiation source, measure detected radioactive material, and adjudicate alarms. These activities will be performed as they pertain to radiation alarms detected in/or on people, vehicles, packages, and/or facilities. Training will be accomplished using an assigned Backpack and a variety of sealed radioactive sources (SRS) in the learning activities (drills).

Course Objectives:

- Distinguish the differences between the capabilities of the Backpack and other National Incident Management System (NIMS) typed PRND equipment.
- Give examples of deployment methods commonly used with Backpack detectors.
- Point out operational limitations of the Backpack detector.
- Summarize the Backpack Operator's considerations when receiving a neutron alarm.
- Cite the common characteristics of Backpack detectors.
- Identify the standard and optional components of Backpack detectors.
- Identify operational considerations when employing the Backpack detector.
- Differentiate between the steps of the Alarm Response Guide (ARG).
- Describe special considerations for alarms on people, packages, vehicles and facilities

Prerequisites: 

PER-243: Primary Screener/Personal Radiation Detector Course",PER-246: Primary Screener Backpack Basic Course (PSBB),Counterterrorism Operations Support (CTOS),Yes,In Person,4 Hours,3 and 4,,,,,,,,,,,,,,,,,,
